brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price,zscore_price
hp,Pavilion 15,ryzen5,144.0,Radeon,8.0,512.0,0.0,16.0,fhd,99990,-0.7307062940995455
hp,Pavilion Power 15 2020,ryzen5,144.0,GTX 1650,8.0,256.0,0.0,16.0,fhd,108000,-0.6101909932041178
hp,Pavilion 15 Gaming,ryzen5,144.0,GTX 1650,4.0,256.0,0.0,16.0,fhd,106800,-0.6282457199300246
hp,Pavilion 15 Gaming,I5G10,144.0,GTX 1660 Ti,8.0,512.0,0.0,16.0,fhd,134800,-0.20696876299220013
hp,Pavilion 16 Gaming,I7G10,144.0,GTX 1650 Ti,8.0,512.0,0.0,16.0,fhd,146800,-0.026421495733132502
hp,Envy 13,I5G11,144.0,Iris Xe,8.0,256.0,0.0,13.0,fhd,114990,-0.5050222100257109
hp,Envy 13,I5G11,144.0,Iris Xe,8.0,256.0,0.0,13.0,fhd,120000,-0.42964372594505024
hp,Envy 13,I7G11,144.0,Iris Plus,8.0,512.0,0.0,13.0,4k,148000,-0.00836676900722574
hp,Envy x360 2020,I7G11,144.0,Iris Xe,8.0,512.0,0.0,13.0,fhd,140000,-0.12873161384660417
hp,hp Omen 15,I7,144.0,GTX 1660 Ti,8.0,512.0,0.0,16.0,fhd,160000,0.1721804982518419
hp,hp Omen 15,I7,144.0,GTX 1660 Ti,16.0,1024.0,0.0,16.0,fhd,175000,0.39786458232567645
hp,hp Spectre 13 x360,I5G10,144.0,Iris Plus,8.0,256.0,0.0,13.0,fhd,142000,-0.09864040263675956
hp,hp Spectre 13 x360,I7G10,144.0,Iris Plus,8.0,512.0,0.0,13.0,fhd,185000,0.5483206383748994
hp,hp Spectre 15 x360,I7G10,144.0,MX250,16.0,512.0,0.0,16.0,4k,225000,1.1501448625717916
lenovo,V14-IIL 8C24,I5G10,60.0,Intel UHD,4.0,0.0,1024.0,14.0,hd,82000,-1.0013767389320978
lenovo,IdeaPad S145,I3G10,60.0,Intel UHD,4.0,0.0,1024.0,14.0,hd,59800,-1.335389183361373
lenovo,IdeaPad S540,I7G10,60.0,Intel UHD,8.0,256.0,0.0,13.0,hd,119990,-0.4297941820010994
lenovo,IdeaPad S540,I7G10,60.0,Intel UHD,16.0,512.0,0.0,13.0,hd,129990,-0.2793381259518764
lenovo,IdeaPad 3,I5G10,144.0,Intel UHD,8.0,512.0,0.0,14.0,fhd,75990,-1.0918008286176808
lenovo,IdeaPad 5 2020,I5G10,144.0,Intel UHD,8.0,256.0,0.0,14.0,fhd,85000,-0.9562399221173308
lenovo,IdeaPad Flex 5,ryzen3,144.0,Radeon,4.0,256.0,0.0,14.0,fhd,74000,-1.1217415837714761
lenovo,IdeaPad Slim 7,I7G10,144.0,MX350,16.0,512.0,0.0,14.0,fhd,134990,-0.2041100979272649
lenovo,IdeaPad Gaming 3,I7,144.0,GTX 1650 Ti,8.0,256.0,1024.0,16.0,fhd,139000,-0.14377721945152647
lenovo,IdeaPad Gaming 3,I7G10,144.0,GTX 1650 Ti,16.0,256.0,1024.0,16.0,fhd,152000,0.05181565341246347
lenovo,Flex 5,ryzen5,144.0,Radeon,16.0,256.0,0.0,14.0,fhd,110000,-0.5800997819942733
lenovo,Flex 14x 360,I7G10,144.0,Intel UHD,8.0,512.0,0.0,14.0,fhd,124990,-0.35456615397648794
lenovo,Flex 14 2021,ryzen5,144.0,Radeon graphics,16.0,256.0,0.0,14.0,fhd,118000,-0.45973493715489483
lenovo,Yoga C740,I5G10,144.0,Intel UHD,8.0,256.0,0.0,14.0,fhd,105000,-0.6553278100188847
lenovo,Yoga C940,I7G11,144.0,Iris Plus,8.0,512.0,0.0,13.0,fhd,169000,0.3075909486961426
lenovo,Yoga 7i,I5G11,144.0,Iris Xe,8.0,256.0,0.0,16.0,fhd,115000,-0.5048717539696618
lenovo,Yoga Duet 7i,I5G10,60.0,Intel UHD,8.0,512.0,0.0,13.0,hd,145000,-0.05350358582199265
lenovo,Yoga 7i,I5G11,144.0,Iris Xe,8.0,256.0,0.0,16.0,fhd,115000,-0.5048717539696618
lenovo,Yoga 7 2021,I7G11,144.0,Iris Xe,12.0,512.0,0.0,14.0,fhd,135000,-0.20395964187121568
lenovo,Yoga Slim 7i Carbon i7,I7G11,144.0,Iris Xe,16.0,1024.0,0.0,13.0,WQXGA,185000,0.5483206383748994
