brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
dell,Inspiron 15 7500,Core i7-10750H,,Intel Iris Xe,16,1024,,15.6,FHD,175000
dell,G3 G3500,Core i5-10300H,,GTX 1650 Ti,8,512,,15.6,FHD,125000
dell,G3 G3500,Core i5-10300H,,GTX 1660 Ti,16,512,,15.6,FHD,135000
dell,G5 15 5500,Core i7-10750H,,RTX 2070,8,512,,15.6,FHD,205105
dell,G5 15 5500,Core i7-10750H,,RTX 2070,16,1024,,15.6,FHD,242250
dell,G5 15 SE,Ryzen 7 4800H,,RX 5600M,8,512,,15.6,FHD,152800
dell,G5 15 SE,Ryzen 7 4800H,,RX 5600M,8,512,,15.6,FHD,158000
dell,G5 15 SE,Ryzen 7 4800H,,RX 5600M,16,512,,15.6,FHD,158800
dell,G7 7500,Core i7-10750H,,RTX 2060,16,512,,15.6,FHD,237500
dell,Alienware m15 R3,Core i7-10750H,300,RTX 2070 SUPER,16,512,,15.6,,310000
dell,Vostro 14 3400,Core i3-1105G1,,Intel UHD,4,,1024,14,HD,60000
dell,Vostro 14 3400,Core i5-1135G1,,Intel Iris Xe,4,,1024,14,FHD,77500
dell,Vostro 14 3401,Core i3-1005G1,,Intel UHD,4,,1024,14,HD,57500
dell,Vostro 14 3401,Core i3-1005G1,,Intel UHD,4,,1024,14,FHD,60040
dell,Vostro 15 3500,Core i7-1165G7,,MX330,8,512,,15.6,FHD,112000
dell,Vostro 15 3500,Core i5-1135G2,,Intel Iris Xe,4,,1024,15.6,FHD,77501
dell,Vostro 15 3500,Core i5-1135G2,,Intel ,8,256,,14,HD,85000
dell,Vostro 15 3500,Core i5-1135G7,,NVIDIA 2GB,8,256,,14,HD,90000
dell,Vostro 15 3501,Core i3-1005G2,,Intel UHD,4,,1024,14,HD,57500
dell,Latitude 14 3410,Core i5-10210U,,Intel UHD,4,,1024,14,HD,82500
dell,XPS 13 7390,Core i5-10210U,,Intel UHD,8,256,,13.3,FHD,140000
dell,XPS 13 7390,Core i5-10210U,,Intel UHD,8,256,,13.3,FHD,144800
dell,XPS 13 7390,Core i7-1065G7,,Intel UHD,16,512,,13.4,FHD,200000
dell,XPS 13 9310,Core i5-1135G8,,Iris Xe,8,512,,13.3,FHD,214740
dell,XPS 13 9310,Core i5-1135G7,,Iris Xe,8,256,,13.3,FHD,228050
dell,XPS 13 9310,Core i5-1135G7,,Iris Xe,16,512,,13.3,FHD,308850
dell,XPS 13 9300,Core i7-1065G7,,Iris Xe,16,512,,13.4,4K,210800
dell,XPS 15 9500,Core i5-10300H,,Intel UHD,8,512,,15.6,FHD,174800
dell,XPS 15 9500,Core i7-10750H,,GTX 1650 Ti,16,512,,15.6,4K,258800
dell,XPS 15 9500,Core i7-10875H,,GTX 1650 Ti,16,512,,15.6,4K,268800
hp,hp Laptop 14,Core i3-1005G1,,Intel UHD,8,,,14,FHD,61990
hp,hp Laptop 14,Core i5-1035G1,,Intel UHD,8,,,14,HD,78990
hp,hp Laptop 15,Core i3-1115G4,,Intel UHD,8,,,15.6,HD,64990
hp,hp Laptop 14,Core i3-1005G1,,Intel UHD,8,,,14,HD,64800
hp,hp Laptop 14,Core i5-10210U,,Radeon 530,4,,,14,HD,79990
hp,hp Laptop 15,Core i5-10210U,,Radeon 531,8,128,1024,14,HD,86990
hp,hp Laptop 15,Core i7-1065G7,,Intel Iris,8,256,,15.6,HD,99990
hp,Notebook 14s,Core i3-1005G1,,Intel UHD,8,256,,14,FHD,63000
hp,Notebook 14s,Core i3-1005G1,,Intel UHD,4,512,,14,FHD,68500
hp,Notebook 14s,Core i5-1035G1,,MX130,4,,1024,14,FHD,89000
