asus,ROG Strix G531GT,i5 9TH GEN,,GTX 1650,8,512,,15.6,fhd touch,137000
asus,VivoBook Flip 14 TP470EA,i7 11th Gen,,1135G7,8,512,,14,fhd,138000
asus,VivoBook S15 S533EA,i7 11th Gen,,,16,512,,15.6,fhd,141000
asus,VivoBook S15 S533JQ,i7 10th Gen,,Nvidia MX350,16,512,,15.6,fhd,141000
asus,ZenBook 14 UX434FQ,i5 10th Gen,144,NVIDIA MX350,8,512,,14,fhd,142000
asus,ROG Strix G15 G512LI,i5 10TH GEN,,GTX 1650TI,16,512,,15.6,fhd touch,143000
asus,ZenBook Flip 13 UX363EA,i5 11th Gen,144,,16,512,,13.3,fhd,146000
asus,TUF F15 Gaming Laptop,i7 10Th Gen,,8 Core GTX 1650,8,512,,15.6,fhd,148000
asus,ZenBook 13 UX325JA,I7 10 GEN,144,,16,512,,13.3,fhd,148000
asus,TUF A15 FA506II Gaming Laptop,Ryzen 7 4800H,,GTX 1650Ti,16,512,,15.6,fhd touch,152000
asus,ZenBook 14 UX435EG,i5 11th Gen,,,8,512,,14,fhd,153000
asus,ZenBook 13 UX325EA,I7 11th Gen,,,16,512,,13.3,fhd,154000
asus,ZenBook 14 UX425EA,I7 11th Gen,144,,16,512,,13.3,fhd,154000
asus,TUF A15 FA506IU Gaming Laptop,Ryzen 7 4800H,144,GTX 1660Ti,16,512,,15.6,fhd,161000
asus,TUF A17 FA706IU Gaming Laptop,Ryzen 7 4800H,,GTX 1660Ti,8,512,,17.3,hd,167000
dell,Vostro 3501,i3 10th Gen,,,4,,1024,15.6,hd,59000
dell,Vostro 3401,i3 10th Gen,,,4,,1024,14,hd,59000
dell,Vostro 3401,i3 10th Gen,,,8,,1024,14,hd,62000
dell,Latitude 3410,i3 10th Gen,,,4,,1024,14,fhd,65500
dell,Vostro 3400,i5 11th Gen,,,4,,1024,14,fhd,79000
dell,Vostro 3500,i5 11th Gen,,,4,,1024,15.6,fhd,79000
