brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
lenovo,ThinkBoo,I5,60,AMD Radeon,8,0,1024,14,hd,95000
lenovo,IdeaPad ,I5,144,Intel,8,256,0,13,qhd,95000
lenovo,IdeaPad ,I3,144,Intel,4,0,1024,16,fhd,56000
apple,MacBook ,I3,144,Intel,8,256,0,13,retina,138000
apple,MacBook ,I5,144,Intel,8,512,0,13,retina,195000
apple,MacBook ,m1,144,Intel,8,512,0,13,fhd,205000
dell,Inspiron,I7,144,Intel,8,512,0,14,fhd,115000
acer,Aspire 5,I5,60,Intel,8,512,0,16,hd,85000
acer,Swift 3,ry,144,Intel,8,256,0,14,fhd,88000
acer,Swift 3,ry,144,Intel,8,512,0,14,fhd,96000
acer,Nitro 5,ry,144,NVIDIA GeF,8,256,0,16,fhd,108000
acer,Nitro 5,I5,144,GTX 1650 G,8,256,0,16,fhd,112000
hp,Envy 13,I5,144,Intel,8,256,0,13,fhd,116000
lenovo,Yoga7,I7,144,Intel,12,512,0,14,fhd_touch,132000
lenovo,Flex 5,I7,144,Intel,8,512,0,14,fhd_touch,115000
lenovo,Flex 5,ry,144,Intel,8,256,0,14,fhd_touch,74000
lenovo,Legion 5,I7,60,NVIDIA GTX,8,512,0,16,hd,145000
lenovo,Ideapad ,I3,60,Intel,8,256,0,16,hd,64000
lenovo,Yoga C74,I7,144,Intel,16,256,0,16,fhd_touch,165000
lenovo,IdeaPad ,I5,144,Intel,16,512,0,14,fhd_touch,100000
lenovo,IdeaPad ,I5,144,Intel,8,512,0,14,fhd,82000
lenovo,Legion 5,I7,60,NVIDIA RTX,16,512,0,16,hd,180000
lenovo,Yoga 7i,I7,144,Intel,12,512,0,14,fhd_touch,132000
lenovo,Flex 5 1,I5,144,Intel,8,512,0,14,fhd,92000
lenovo,V14,ry,144,AMD Radeon,8,0,1024,14,fhd,78500
lenovo,V14,ce,60,Intel hd g,4,0,1024,14,hd,45000
dell,XPS 13 7,I7,144,Intel uhd ,16,512,0,13,fhd_touch,190000
dell,Inspiron,ry,60,Intel,8,256,0,14,hd,109500
dell,Inspiron,I7,144,Iris Xe Gr,16,512,0,13,uhd,166000
dell,G5 5500,I7,144,NVIDIA GTX,8,256,0,16,fhd,150000
asus,Zenbook ,ry,144,NVIDIA GEF,8,256,0,14,fhd,95000
asus,VivoBook,I3,144,Intel,4,128,0,16,fhd,60000
asus,E410MA,ce,60,Intel,4,256,0,14,hd,48000
