brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
lenovo,Think,I5,144,inteluhd,8,256,0,14,fhd,144000
lenovo,Think,I5,144,inteluhd,8,256,0,14,fhd,145000
lenovo,Think,ry,144,amdradeon,16,256,0,13,fhd,143000
lenovo,Think,I5,144,inteluhd,8,256,0,13,fhd,159000
lenovo,Think,I5,144,inteluhd,8,256,0,13,fhd,179000
lenovo,Think,I5,144,inteluhd,16,512,0,13,fhd,198000
lenovo,Legio,ry,120,nvidiageforcertx2060,8,512,0,16,fhd,154800
lenovo,Legio,ry,120,nvidiageforcertx2060,16,512,0,16,fhd,160800
lenovo,Legio,I7,120,nvidiageforcegtx1650,8,256,0,16,fhd,150000
lenovo,Legio,I7,120,nvidiageforcegtx1660,16,512,0,16,fhd,170800
lenovo,Legio,I7,120,nvidiageforcertx2060,16,512,0,16,fhd,190800
lenovo,Legio,I7,120,nvidiageforcegtx1650,8,512,0,16,fhd,142800
lenovo,Legio,I7,120,nvidiageforcegtx1660,8,512,1024,16,fhd,154800
lenovo,Legio,I7,144,nvidiageforcertx2060,16,256,0,16,fhd,184800
lenovo,Legio,I7,240,nvidiageforcertx2060,16,512,0,16,fhd,195000
lenovo,Legio,I7,144,nvidiageforcertx2070,16,1024,0,16,fhd,238800
apple,MacBo,m1,144,inteliris,8,256,0,13,fhd,159500
apple,MacBo,m1,144,inteliris,8,512,0,13,fhd,203000
apple,MacBo,m1,144,inteliris,8,256,0,13,fhd,205000
apple,MacBo,m1,144,inteliris,8,512,0,13,fhd,240000
apple,MacBo,m1,144,inteliris,16,256,0,13,fhd,240000
apple,MacBo,m1,144,inteliris,16,512,0,13,fhd,275000
msi,msi S,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,229000
msi,msi S,I7,144,nvidiageforcertx2060,16,512,0,16,fhd,239000
msi,msi G,I7,144,nvidiageforcertx2060,16,512,0,16,fhd,265000
msi,msi G,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,255000
msi,msi G,I7,144,nvidiageforcertx2070,32,1024,0,16,fhd,386000
msi,msi G,I7,144,nvidiageforcertx2070,16,1024,0,16,fhd,306000
msi,msi G,I7,144,nvidiageforcertx3070,16,2048,0,16,fhd,320000
msi,msi G,I7,144,nvidiageforcertx3070,32,2048,0,16,fhd,350000
msi,msi G,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,205000
msi,msi G,I7,144,nvidiageforcertx3060,16,1024,0,16,fhd,259000
msi,msi G,I7,144,nvidiageforcertx3060,16,1024,0,16,fhd,259000
msi,msi G,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,189000
msi,msi G,I7,144,nvidiageforcertx2070,8,512,1024,16,fhd,250000
msi,msi G,I7,144,nvidiageforcegtx1650,8,512,0,16,fhd,137000
msi,msi G,I5,120,nvidiageforcegtx1660,8,1024,0,16,fhd,145000
msi,msi G,I7,144,nvidiageforcegtx1660,8,1024,0,16,fhd,175000
msi,msi G,I5,144,nvidiageforcertx3060,16,512,0,16,fhd,198000
msi,msi G,I7,144,nvidiageforcertx3060,16,512,0,16,fhd,220000
msi,msi B,I7,144,inteliris,8,1024,0,16,fhd,155000
msi,msi C,I7,144,nvidiageforcertx2070,32,512,0,16,4k,360000
msi,msi P,I5,144,intelirisxe,16,512,0,16,fhd,173000
msi,msi P,I7,144,intelirisxe,16,512,0,16,fhd,193000
msi,msi P,I7,144,nvidiageforcegtx1650,16,512,0,16,fhd,241000
msi,msi M,I5,144,inteliris,8,512,0,16,uhd,110000
msi,msi M,I5,144,amdradeonrx,8,512,0,14,fhd,135000
msi,msi M,I7,144,amdradeonrx,8,512,0,14,fhd,147000
msi,msi M,I5,144,amdradeonrx,8,512,0,16,fhd,137000
msi,msi M,I7,144,amdradeonrx,8,512,0,16,fhd,148000
msi,msi S,I5,144,intelirisxe,8,512,0,16,fhd,138000
msi,msi S,I7,144,intelirisxe,8,512,0,16,fhd,168000
msi,msi S,I7,144,nvidiageforcegtx1650,16,1024,0,16,fhd,249000
msi,msi S,I7,144,nvidiageforcegtx1650,16,1024,0,16,4k,259000
microsoft,Micro,I3,144,inteliris,4,128,0,12,fhd,117000
microsoft,Micro,I5,144,inteliris,8,128,0,12,fhd,142000
microsoft,Micro,I5,144,inteliris,8,256,0,12,fhd,188000
microsoft,Micro,I7,144,inteliris,16,256,0,12,fhd,228000
microsoft,Micro,I5,144,inteliris,8,128,0,14,fhd,159000
microsoft,Micro,ry,144,amdradeonvega8,8,128,0,15,fhd,187000
razer,Razer,I7,120,nvidiageforcegtx1650,16,512,0,16,fhd,289000
razer,Razer,I7,144,nvidiageforcertx2060,16,512,0,16,fhd,279000
razer,Razer,I7,144,nvidiageforcertx2070,16,512,0,16,fhd,310000
ripple,Pando,I7,144,intelirisxe,8,256,0,16,fhd,75000
ripple,Artif,I5,144,nvidiageforcegtx1650,8,256,0,16,fhd,120000
ripple,Artif,I7,144,nvidiageforcertx2060,8,256,0,16,fhd,175000
ripple,Artif,I7,144,nvidiageforcertx3060,16,256,0,16,fhd,200000
ripple,Raze,I5,144,nvidiageforcertx3050,8,256,0,16,fhd,150000
ripple,Raze ,I7,144,nvidiageforcertx3050,8,256,0,16,fhd,200000
ripple,Genos,ry,144,nvidiageforcertx2060,8,256,0,16,fhd,185000
ripple,Genos,ry,144,nvidiageforcertx2070,8,256,0,16,fhd,225000
hp,15CS3,I5,144,inteliris,8,256,0,16,fhd,86000
asus,TUF F,I5,144,nvidiageforcegtx1650,8,256,0,16,fhd,115000
hp,PAVIL,I5,144,nvidiageforcegtx1650,8,256,0,16,fhd,112000
hp,24-DF,I3,144,inteliris,12,256,0,24,fhd,88000
hp,15-GW,ry,144,inteliris,4,128,1024,16,fhd,63500
lenovo,V14,ry,144,amdradeon,8,0,1024,14,fhd,78500
hp,Hp-14,I5,144,inteliris,8,256,0,14,fhd,84000
hp,Hp-14,ry,144,amdradeonvega8,4,0,1024,14,fhd,56000
hp,Pavil,I5,144,inteliris,8,256,0,14,fhd,85000
lenovo,Legio,I7,60,nvidiageforcegtx,8,512,0,14,hd,155000
dell,Inspi,I7,60,Nvidia MX,8,512,0,13,hd,116000
lenovo,Yoga ,I5,144,inteliris,8,256,0,16,fhd_touch,107000
hp,Hp-15,I5,60,inteliris,8,256,0,16,hd,80000
hp,Hp-25,ry,144,inteliris,8,0,1024,16,fhd,74000
hp,15-da,I5,60,inteliris,4,0,1024,16,hd,76000
hp,Hp- 1,I5,144,inteliris,8,256,0,14,fhd,84000
hp,Hp-15,I5,60,inteliris,8,256,0,16,hd,86000
hp,Hp-14,I3,60,inteliris,8,256,0,14,hd,65000
dell,Vostr,I7,144,nvidiageforcemx,8,512,0,16,fhd,115000
dell,Vostr,I3,60,inteliris,4,0,1024,14,hd,57500
lenovo,Ideap,I3,144,inteliris,8,256,0,16,fhd,63000
lenovo,Think,I5,60,amdradeon,8,0,1024,14,hd,95000
lenovo,IdeaP,I5,144,inteliris,8,256,0,13,qhd,95000
lenovo,IdeaP,I3,144,inteliris,4,0,1024,16,fhd,56000
apple,MacBo,I3,144,inteliris,8,256,0,13,retina,138000
apple,MacBo,I5,144,inteliris,8,512,0,13,retina,195000
apple,MacBo,m1,144,inteliris,8,512,0,13,fhd,205000
dell,Inspi,I7,144,inteliris,8,512,0,14,fhd,115000
acer,Aspir,I5,60,inteliris,8,512,0,16,hd,85000
acer,Swift,ry,144,inteliris,8,256,0,14,fhd,88000
acer,Swift,ry,144,inteliris,8,512,0,14,fhd,96000
acer,Nitro,ry,144,nvidiageforce,8,256,0,16,fhd,108000
acer,Nitro,I5,144,nvidiageforcegtx1650,8,256,0,16,fhd,112000
hp,Envy ,I5,144,inteliris,8,256,0,13,fhd,116000
lenovo,Yoga7,I7,144,inteliris,12,512,0,14,fhd_touch,132000
lenovo,Flex ,I7,144,inteliris,8,512,0,14,fhd_touch,115000
lenovo,Flex ,ry,144,inteliris,8,256,0,14,fhd_touch,74000
lenovo,Legio,I7,60,nvidiageforcegtx,8,512,0,16,hd,145000
lenovo,Ideap,I3,60,inteliris,8,256,0,16,hd,64000
lenovo,Yoga ,I7,144,inteliris,16,256,0,16,fhd_touch,165000
lenovo,IdeaP,I5,144,inteliris,16,512,0,14,fhd_touch,100000
lenovo,IdeaP,I5,144,inteliris,8,512,0,14,fhd,82000
lenovo,Legio,I7,60,inteliris,16,512,0,16,hd,180000
lenovo,Yoga ,I7,144,inteliris,12,512,0,14,fhd_touch,132000
lenovo,Flex ,I5,144,inteliris,8,512,0,14,fhd,92000
lenovo,V14,ry,144,amdradeon,8,0,1024,14,fhd,78500
lenovo,V14,ce,60,nvidiageforcertx2060,4,0,1024,14,hd,45000
dell,XPS 1,I7,144,Intel uhd,16,512,0,13,fhd_touch,190000
dell,Inspi,ry,60,inteliris,8,256,0,14,hd,109500
dell,Inspi,I7,144,inteliris,16,512,0,13,uhd,166000
dell,G5 55,I7,144,nvidiageforcegtx,8,256,0,16,fhd,150000
asus,Zenbo,ry,144,nvidiageforce,8,256,0,14,fhd,95000
asus,VivoB,I3,144,inteliris,4,128,0,16,fhd,60000
asus,E410M,ce,60,inteliris,4,256,0,14,hd,48000
asus,TUF T,I7,144,nvidiageforcegtx,16,512,0,16,hd,155000
asus,Vivob,pe,60,inteliris,4,128,0,14,hd,57500
asus,VivoB,ry,144,inteliris,8,512,0,14,fhd_touch,108000
asus,Vivob,I5,144,inteliris,8,512,0,14,fhd,112000
asus,VivoB,I5,144,inteliris,8,256,0,16,fhd_touch,86000
asus,ROG Z,ry,144,nvidiageforce,16,1,0,16,fhd,200000
asus,TUF F,I5,144,nvidiageforcegtx1650,8,256,0,16,fhd,115000
hp,Hp-14,ry,60,amdradeonvega8,4,0,1024,14,hd,59000
hp,15-DY,I5,144,inteliris,8,256,0,16,fhd,85000
hp,Envy ,I7,144,inteliris,8,512,0,13,fhd_touch,138000
hp,OMEN ,I7,144,nvidiageforcegtx,8,256,1024,16,fhd,160000
hp,15CS3,I5,144,inteliris,8,256,0,16,fhd,89000
hp,Hp-14,I3,144,inteliris,8,256,0,14,fhd_touch,75000
hp,Pavil,I5,144,inteliris,8,256,0,14,fhd,95000
hp,Pavil,I3,144,inteliris,8,128,0,14,fhd_touch,74000
hp,15-DY,I5,60,inteliris,12,256,0,16,hd,94500
hp,Hp-14,ry,60,inteliris,4,0,1024,14,hd,56000
hp,Pavil,I5,144,inteliris,8,256,0,14,fhd,92000
hp,Hp-14,I3,60,inteliris,8,256,0,14,hd,75000
hp,Hp-14,I5,60,inteliris,8,256,0,14,hd,84000
hp,Hp-15,ry,144,inteliris,4,128,1024,16,fhd,63500
hp,24-DF,I3,144,inteliris,12,256,0,24,fhd,88000
hp,PAVIL,I5,144,nvidiageforcegtx1650,8,256,0,16,fhd,112000
hp,15CS3,I5,144,inteliris,8,256,0,16,fhd,86000
asus,TUF D,I7,144,inteliris,16,512,0,16,fhd,209990
acer,A515,I5,144,inteliris,8,0,1024,16,fhd,86990
acer,A515,ry,144,inteliris,4,128,0,16,fhd,59990
acer,Preda,I7,144,inteliris,16,512,0,16,fhd,182990
acer,SF314,I5,144,inteliris,8,256,0,14,fhd,95990
acer,SF314,I7,144,inteliris,8,512,0,14,fhd,115990
acer,SF714,I7,144,inteliris,16,512,0,14,fhd,142990
apple,MacBo,I3,144,inteliris,8,256,0,13,qhd,139990
apple,MacBo,I7,144,inteliris,8,512,0,13,qhd,189990
apple,MacBo,I5,144,inteliris,8,256,0,13,qhd,189990
asus,FA506,I7,144,inteliris,8,512,0,16,fhd,157990
asus,ROG Z,ry,144,inteliris,16,1024,0,14,fhd,274990
asus,Strix,I7,144,inteliris,8,512,0,16,fhd,144990
asus,TP412,I7,144,inteliris,8,256,0,14,fhd,106990
asus,VivoB,I3,144,inteliris,4,128,0,14,fhd,67990
asus,VivoB,I5,144,inteliris,8,256,0,16,fhd,84990
asus,ZenBo,ry,144,inteliris,8,256,0,14,fhd,99990
dell,3501,I5,144,inteliris,8,256,0,16,fhd,94990
dell,3501,I5,144,inteliris,8,256,0,16,fhd,82990
dell,5505,I7,144,inteliris,8,256,0,16,fhd,109990
dell,G5-15,I7,144,inteliris,8,256,0,16,fhd,135990
dell,In 54,I3,60,inteluhd,4,128,0,14,hd,74990
dell,In 54,I5,144,inteliris,8,512,0,14,fhd,108990
dell,In 54,I5,60,inteliris,8,256,0,14,hd,112990
dell,In 54,I7,144,inteliris,8,512,0,14,fhd,123990
dell,In 55,I7,144,inteliris,8,256,0,16,fhd,119990
dell,In 74,I7,144,inteliris,8,512,0,14,fhd,114990
dell,In 75,I5,144,inteliris,12,512,0,16,fhd,119990
dell,Vostr,I5,144,inteliris,4,0,1024,14,fhd,78990
dell,Vostr,I5,144,inteliris,8,256,0,14,fhd,82990
dell,Vostr,I7,144,inteliris,8,512,0,14,fhd,115990
dell,Vostr,I3,60,inteliris,4,128,1024,14,hd,62990
dell,Vostr,I3,60,inteliris,4,0,1024,14,hd,58990
dell,Vostr,I5,144,inteliris,4,0,1024,16,fhd,78990
dell,Vostr,I7,144,inteliris,8,512,0,16,fhd,115990
dell,Vostr,I3,60,inteliris,4,0,1024,16,hd,58990
hp,14-cf,I5,60,inteliris,4,0,1024,14,hd,82990
hp,14-cf,I5,60,inteliris,8,128,1024,14,hd,89990
hp,14-dq,I3,144,inteliris,8,256,0,14,fhd,64990
hp,14-dq,I5,60,inteliris,8,256,0,14,hd,78990
hp,15-DW,I3,60,inteliris,8,256,0,16,hd,64990
hp,15-dy,I7,60,inteliris,8,256,0,16,hd,99990
hp,15-dy,I5,144,inteliris,8,256,0,16,fhd,84990
hp,ENVY ,I5,144,inteliris,8,256,0,13,fhd,114990
hp,ENVY-,I7,144,inteliris,8,512,0,13,fhd_touch,137990
hp,OMEN-,I7,144,inteliris,16,512,0,16,fhd,181990
hp,Pav 1,ry,144,inteliris,8,512,0,16,fhd,91990
hp,Pav G,ry,144,inteliris,8,256,0,16,fhd,102990
hp,Pav G,ry,144,inteliris,8,256,0,16,fhd,89990
hp,14-dk,ry,60,inteliris,4,0,1024,14,hd,58990
hp,15-dw,I7,144,inteliris,8,256,0,16,fhd,106990
hp,OMEN-,I7,144,inteliris,32,512,0,16,fhd,259990
lenovo,LEGIO,I7,144,inteliris,8,512,0,16,fhd,156990
lenovo,LEGIO,ry,144,inteliris,8,256,1024,16,fhd,124990
lenovo,15IIL,I7,144,inteliris,12,512,0,16,fhd,94990
lenovo,E41-4,I7,60,inteliris,4,0,1024,14,hd,41990
lenovo,Flex1,I7,144,inteliris,16,512,0,14,fhd,124990
lenovo,IdeaP,I5,144,inteliris,8,512,0,14,fhd,79990
lenovo,IdeaP,I7,60,inteliris,8,0,1024,14,hd,99990
lenovo,S540,I7,144,inteliris,16,512,0,13,qhd,129990
lenovo,S540,I7,144,inteliris,8,256,0,13,qhd,119990
