,refreshrate,ram,ssd,rom,display,price,brandname_encoded,model_encoded,cpucore_I3,cpucore_I5,cpucore_I7,cpucore_I9,cpucore_ce,cpucore_m1,cpucore_pe,cpucore_ry,gpu_encoded,displayquality_4k,displayquality_4k_touch,displayquality_WQXGA,displayquality_fhd,displayquality_fhd_touch,displayquality_hd,displayquality_ips,displayquality_qhd,displayquality_retina,displayquality_uhd
676,144,8,512,0,16,122000,2,135,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
677,144,8,512,0,13,125000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
678,144,8,512,0,14,125000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
679,144,8,512,0,16,126000,2,144,0,0,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
680,144,8,512,0,13,127000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
681,144,8,512,0,14,127000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
682,144,16,512,0,14,131000,2,144,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
683,144,16,512,0,16,132000,2,135,0,1,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0
684,144,8,512,0,14,134000,2,120,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
685,144,8,512,0,16,135000,2,133,0,0,0,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0
686,144,8,512,0,16,135000,2,144,0,0,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
687,144,8,512,0,16,137000,2,112,0,1,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0
688,144,8,512,0,14,138000,2,144,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
689,144,16,512,0,16,141000,2,144,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
690,144,16,512,0,16,141000,2,144,0,0,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
691,144,8,512,0,14,142000,2,155,0,1,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
692,144,16,512,0,16,143000,2,112,0,1,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0
693,144,16,512,0,13,146000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
694,144,8,512,0,16,148000,2,135,0,0,1,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0
695,144,16,512,0,13,148000,2,155,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
696,144,16,512,0,16,152000,2,133,0,0,1,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0
697,144,8,512,0,14,153000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
698,144,16,512,0,13,154000,2,155,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
699,144,16,512,0,13,154000,2,155,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
700,144,16,512,0,16,161000,2,133,0,0,1,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
701,120,8,512,0,17,167000,2,133,0,0,1,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0
702,60,4,0,1024,16,59000,4,146,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0
703,60,4,0,1024,14,59000,4,146,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0
704,60,8,0,1024,14,62000,4,146,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0
705,144,4,0,1024,14,65500,4,79,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
706,144,4,0,1024,14,79000,4,146,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
707,144,4,0,1024,16,79000,4,146,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
708,144,8,256,0,16,94000,4,76,0,1,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
709,144,8,256,0,13,103000,4,76,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
710,144,8,512,0,16,108000,4,38,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
711,144,8,512,0,16,112000,4,146,0,0,1,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0
712,144,8,256,0,14,118000,4,76,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
713,144,8,256,0,13,118000,4,76,0,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0
714,144,8,512,0,13,119000,4,76,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
715,144,8,512,0,14,120000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0
716,120,8,512,0,14,121000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
717,144,8,512,0,16,125000,4,38,0,0,1,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0
718,144,8,512,0,14,125000,4,76,0,1,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
719,144,16,512,0,16,135000,4,38,0,1,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0
720,144,16,512,0,14,135000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
721,144,8,256,0,13,140000,4,148,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
722,144,8,512,0,13,148000,4,76,0,0,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
723,144,16,512,0,16,155000,4,76,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
724,144,16,256,1024,16,156000,4,38,0,0,1,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0
725,144,16,512,0,14,156000,4,76,0,0,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
726,144,8,512,0,16,158000,4,40,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
727,144,16,512,0,13,160000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
