brandname,model,cpucore,clock,gpu,ram,ssd,rom,display,displayquality,price
Dell,Inspiron 14 7490,Core i7-10510U,,Intel Iris Xe,16GB,512GB,,14,FHD,156000
Dell,Inspiron 15 7500,Core i7-10750H,,Intel Iris Xe,16GB,1024GB,,15.6,FHD,175000
Dell,G3 G3500,Core i5-10300H,,GTX 1650 Ti,8GB,512GB,,15.6,FHD,125000
Dell,G3 G3500,Core i5-10300H,,GTX 1660 Ti,16GB,512GB,,15.6,FHD,135000
Dell,G5 15 5500,Core i7-10750H,,RTX 2070,8GB,512GB,,15.6,FHD,205105
Dell,G5 15 5500,Core i7-10750H,,RTX 2070,16GB,1024GB,,15.6,FHD,242250
Dell,G5 15 SE,Ryzen 7 4800H,,RX 5600M,8GB,512GB,,15.6,FHD,152800
Dell,G5 15 SE,Ryzen 7 4800H,,RX 5600M,8GB,512GB,,15.6,FHD,158000
Dell,G5 15 SE,Ryzen 7 4800H,,RX 5600M,16GB,512GB,,15.6,FHD,158800
Dell,G7 7500,Core i7-10750H,,RTX 2060,16GB,512GB,,15.6,FHD,237500
Dell,Alienware m15 R3,Core i7-10750H,300Hz,RTX 2070 SUPER,16GB,512GB,,15.6,,310000
Dell,Vostro 14 3400,Core i3-1105G1,,Intel UHD,4GB,,1024GB,14,HD,60000
Dell,Vostro 14 3400,Core i5-1135G1,,Intel Iris Xe,4GB,,1024GB,14,FHD,77500
Dell,Vostro 14 3401,Core i3-1005G1,,Intel UHD,4GB,,1024GB,14,HD,57500
Dell,Vostro 14 3401,Core i3-1005G1,,Intel UHD,4GB,,1024GB,14,FHD,60040
Dell,Vostro 15 3500,Core i7-1165G7,,MX330,8GB,512GB,,15.6,FHD,112000
Dell,Vostro 15 3500,Core i5-1135G2,,Intel Iris Xe,4GB,,1024GB,15.6,FHD,77501
Dell,Vostro 15 3500,Core i5-1135G2,,Intel Integrated,8GB,256GB,,14,HD,85000
Dell,Vostro 15 3500,Core i5-1135G7,,NVIDIA 2GB,8GB,256GB,,14,HD,90000
Dell,Vostro 15 3501,Core i3-1005G2,,Intel UHD,4GB,,1024GB,14,HD,57500
Dell,Latitude 14 3410,Core i5-10210U,,Intel UHD,4GB,,1024GB,14,HD,82500
Dell,XPS 13 7390,Core i5-10210U,,Intel UHD,8GB,256GB,,13.3,FHD,140000
Dell,XPS 13 7390,Core i5-10210U,,Intel UHD,8GB,256GB,,13.3,FHD,144800
Dell,XPS 13 7390,Core i7-1065G7,,Intel UHD,16GB,512GB,,13.4,FHD,200000
Dell,XPS 13 9310,Core i5-1135G8,,Iris Xe,8GB,512GB,,13.3,FHD,214740
Dell,XPS 13 9310,Core i5-1135G7,,Iris Xe,8GB,256GB,,13.3,FHD,228050
Dell,XPS 13 9310,Core i5-1135G7,,Iris Xe,16GB,512GB,,13.3,FHD,308850
Dell,XPS 13 9300,Core i7-1065G7,,Iris Xe,16GB,512GB,,13.4,4K,210800
Dell,XPS 15 9500,Core i5-10300H,,Intel UHD,8GB,512GB,,15.6,FHD,174800
Dell,XPS 15 9500,Core i7-10750H,,GTX 1650 Ti,16GB,512GB,,15.6,4K,258800
Dell,XPS 15 9500,Core i7-10875H,,GTX 1650 Ti,16GB,512GB,,15.6,4K,268800
HP,HP Laptop 14,Core i3-1005G1,,Intel UHD,8GB,,,14,FHD,61990
HP,HP Laptop 14,Core i5-1035G1,,Intel UHD,8GB,,,14,HD,78990
HP,HP Laptop 15,Core i3-1115G4,,Intel UHD,8GB,,,15.6,HD,64990
HP,HP Laptop 14,Core i3-1005G1,,Intel UHD,8GB,,,14,HD,64800
HP,HP Laptop 14,Core i5-10210U,,Radeon 530,4GB,,,14,HD,79990
HP,HP Laptop 15,Core i5-10210U,,Radeon 531,8GB,128GB,1024GB,14,HD,86990
HP,HP Laptop 15,Core i7-1065G7,,Intel Iris,8GB,256GB,,15.6,HD,99990
HP,Notebook 14s,Core i3-1005G1,,Intel UHD,8GB,256GB,,14,FHD,63000
HP,Notebook 14s,Core i3-1005G1,,Intel UHD,4GB,512GB,,14,FHD,68500
HP,Notebook 14s,Core i5-1035G1,,MX130,4GB,,1024GB,14,FHD,89000
HP,Pavilion 14 c360m,Core i5-1135G7,,Intel UHD,8GB,256GB,,14,FHD Touch,110000
HP,Pavilion X360 2020,Core i5-1135G7,,Iris Xe,8GB,512GB,,14,FHD Touch,115000
HP,Pavilion 15,Ryzen 5 4500H,,Radeon,8GB,512GB,,15.6,FHD,99990
HP,Pavilion Power 15 2020,Ryzen 5 4600H,,GTX 1650,8GB,256GB,,15.6,FHD,108000
HP,Pavilion 15 Gaming,Ryzen 5 4600H,,GTX 1650,4GB,256GB,,15.6,FHD,106800
HP,Pavilion 15 Gaming,Core i5-10300H,,GTX 1660 Ti,8GB,512GB,,15.6,FHD,134800
HP,Pavilion 16 Gaming,Core i7-10750H,144Hz,GTX 1650 Ti,8GB,512GB,,16.1,FHD,146800
HP,Envy 13,Core i5-1135G7,,Iris Xe,8GB,256GB,,13.3,FHD,114990
HP,Envy 13,Core i5-1135G7,,Iris Xe,8GB,256GB,,13.3,FHD,120000
HP,Envy 13,Core i7-1165G7,,Iris Plus,8GB,512GB,,13.3,4K Touch,148000
HP,Envy x360 2020,Core i7-1165G7,,Iris Xe,8GB,512GB,,13.3,FHD,140000
HP,HP Omen 15,Ryzen 7 4800H,,GTX 1660 Ti,8GB,512GB,,15.6,FHD,160000
HP,HP Omen 15,Ryzen 7 4800H,,GTX 1660 Ti,16GB,1024GB,,15.6,FHD,175000
HP,HP Spectre 13 x360,Core i5-1035G4,,Iris Plus,8GB,256GB,,13.3,FHD Touch,142000
HP,HP Spectre 13 x360,Core i7-1065G7,,Iris Plus,8GB,512GB,,13.3,FHD Touch,185000
HP,HP Spectre 15 x360,Core i7-10510U,,MX250,16GB,512GB,,15.6,4K Touch,225000
Lenovo,V14-IIL 8C24,Core i5-1035G1,,Intel UHD,4GB,,1024GB,14,HD,82000
Lenovo,IdeaPad S145,Core i3-1005G1,,Intel UHD,4GB,,1024GB,14,HD,59800
Lenovo,IdeaPad S540,Core i7-10510U,,Intel UHD,8GB,256GB,,13.3,QHD,119990
Lenovo,IdeaPad S540,Core i7-10510U,,Intel UHD,16GB,512GB,,13.3,QHD,129990
Lenovo,IdeaPad 3,Core i5-1035G1,,Intel UHD,8GB,512GB,,14,FHD,75990
Lenovo,IdeaPad 5 2020,Core i5-1035G1,,Intel UHD,8GB,256GB,,14,FHD,85000
Lenovo,IdeaPad Flex 5,Ryzen 3 4300U,,Radeon,4GB,256GB,,14,FHD,74000
Lenovo,IdeaPad Slim 7,Core i7-1065G7,,MX350,16GB,512GB,,14,FHD,134990
Lenovo,IdeaPad Gaming 3,Ryzen 7 4800H,,GTX 1650 Ti,8GB,256GB,1024GB,15.6,FHD,139000
Lenovo,IdeaPad Gaming 3,Core i7-10750H,,GTX 1650 Ti,16GB,256GB,1024GB,15.6,FHD,152000
Lenovo,Flex 5,Ryzen 5 4500U,,Radeon,16GB,256GB,,14,FHD,110000
Lenovo,Flex 14x 360,Core i7-10510U,,Intel UHD,8GB,512GB,,14,FHD,124990
Lenovo,Flex 14 2021,Ryzen 5 5500U,,Radeon graphics,16GB,256GB,,14,FHD,118000
Lenovo,Yoga C740,Core i5-10210U,,Intel UHD,8GB,256GB,,14,FHD Touch,105000
Lenovo,Yoga C940,Core i7-1165G7,,Iris Plus,8GB,512GB,,13.3,FHD 360 Touch,169000
Lenovo,Yoga 7i,Core i5-1135G7,,Iris Xe,8GB,256GB,,15.6,FHD 360 Touch,115000
Lenovo,Yoga Duet 7i,Core i5-10210U,,Intel UHD,8GB,512GB,,13,WQHD Touch,145000
Lenovo,Yoga 7i,Core i5-1135G7,,Iris Xe,8GB,256GB,,15.6,FHD Touch,115000
Lenovo,Yoga 7 2021,Core i7-1165G7,,Iris Xe,12GB,512GB,,14,FHD Touch,135000
Lenovo,Yoga Slim 7i Carbon i7,Core i7-1165G7,,Iris Xe,16GB,1024GB,,13.3,WQXGA,185000
Lenovo,Yoga 9 2021,Core i7-1185G7,,Iris Xe,16GB,512GB,,14,Touch,198000
Lenovo,ThinkPad E14,Core i5-10210U,,Intel UHD,8GB,,1024GB,14,FHD,108800
Lenovo,ThinkPad E14,Core i7-10510U,,Intel UHD,8GB,256GB,,14,FHD,138800
Lenovo,ThinkPad L13 Yoga,Core i5 10210U,,Intel UHD,8GB,256GB,,13.3,FHD 360 Touch,135000
Lenovo,ThinkPad T14,Core i5-10210U,,Intel UHD,8GB,256GB,,14,FHD,144000
Lenovo,ThinkPad T490,Core i5-10210U,,Intel UHD,8GB,256GB,,14,FHD,145000
Lenovo,Thinkpad X13,Ryzen 5 Pro 4650U,,Radeon,16GB,256GB,,13.3,FHD,143000
Lenovo,TinkPad X390,Core i5-10210U,,Intel UHD,8GB,256GB,,13,FHD,159000
Lenovo,ThinkPad X1 Carbon 2020,Core i5-10210U,,Intel UHD,8GB,256GB,,13.3,FHD Touch,179000
Lenovo,ThinkPad X1 Carbon 2020,Core i5-10210U,,Intel UHD,16GB,512GB,,13.3,FHD Touch,198000
Lenovo,Legion 5,Ryzen 5 4600H,120Hz,RTX 2060,8GB,512GB,,15.6,FHD,154800
Lenovo,Legion 5,Ryzen 5 4600H,120Hz,RTX 2060,16GB,512GB,,15.6,FHD,160800
Lenovo,Legion 5,Ryzen 7 4800H,120Hz,GTX 1650,8GB,256GB,,15.6,FHD,150000
Lenovo,Legion 5,Ryzen 7 4800H,120Hz,GTX 1660 Ti,16GB,512GB,,15.6,FHD,170800
Lenovo,Legion 5,Ryzen 7 4800H,120Hz,RTX 2060,16GB,512GB,,15.6,FHD,190800
Lenovo,Legion 5i,Core i7-10750H,120Hz,GTX 1650 Ti,8GB,512GB,,15.6,FHD,142800
Lenovo,Legion 5i,Core i7-10750H,120Hz,GTX 1660 Ti,8GB,512GB,1024GB,15.6,FHD,154800
Lenovo,Legion 5i,Core i7-10750H,144Hz,RTX 2060,16GB,256GB,,15.6,FHD,184800
Lenovo,Legion 5i,Core i7-10750H,240Hz,RTX 2060,16GB,512GB,,15.6,FHD,195000
Lenovo,Legion 7i,Core i7-10750H,144Hz,RTX 2070 Super Max-Q,16GB,1024GB,,15.6,FHD,238800
Apple,MacBook Air,M1,,,8GB,256GB,,,,159500
Apple,MacBook Air,M1,,,8GB,512GB,,,,203000
Apple,MacBook Pro 13,M1,,,8GB,256GB,,,,205000
Apple,MacBook Pro 13,M1,,,8GB,512GB,,,,240000
