Brand_name,Model,CPU_core,Clock,GPU,RAM,SSD,HDD,Display_Size,Display_quality,Price
Dell ,G3 G3590, i7 9th Gen,, NVIDIA GTX 1660Ti , 16GB RAM , 256GB SSD , 1TB HDD ,15.6,FHD,156000
Dell ,Inspiron 7490 ,i7 10th Gen,,NVIDIA MX250 Graphics , 16GB RAM , 512GB SSD ,,14,FHD,156000
Dell ,G5 15 SE 2020 Gaming Laptop ,Ryzen 7 4800H ,, AMD RX 5600M 6144MB , 8GB RAM , 512GB SSD ,,15.6,FHD 144Hz,158000
Dell ,Inspiron 7391 2-in-1 ,i7 10th Gen,,, 16GB RAM , 512GB SSD ,,13.3,4K 360-degree Touch Screen Display,160000
Dell ,Vostro 7500, i7 10th Gen,, GTX 1650ti Graphics Card , 16GB RAM , 1TB SSD ,,15.6,FHD,175000
Dell ,XPS 13 7390 ,i7 10th Gen,,,16GB RAM , 512GB SSD ,,13.3,FHD,185000
Dell ,XPS 15 7590, i7 9TH GEN,,GTX 1650, 16GB RAM, 256GB SSD,,15.6, FHD,195000
Dell ,XPS 13 7390, i7 10 GEN,,, 16GB RAM , 512GB SSD ,,13.3,4K UHD Touch DISPLAY,200000
Dell ,XPS 13 7390 2-in-1 ,i7 10 Gen,,, 16GB RAM , 512GB SSD ,,13.4,360-degree FHD TouchScreen Display,200000
Dell ,Alienware M15 R3 ,i7 10th Gen,,RTX 2070 SUPER , 16GB RAM , 512GB SSD ,,15.6,FHD 300Hz,310000
HP ,ProBook 11 G3 EE x360 2-in-1 ,Celeron Dual-Core ,,, 4GB RAM , 128GB SSD,,11.6, 360 Touch Display,47000
HP ,Notebook 14-CF3065TU, i3 10th Gen ,,, 4GB RAM ,, 1TB HDD ,14, HD,59000
HP ,Notebook 14-DK1025WM ,Ryzen 3 3300U ,, 8GB RAM , 256GB SSD ,,,14, HD,60000
HP ,Pavilion X360 ,i3 10th Gen ,,, 8GB RAM , 128GB SSD ,,14, HD Touch Screen Display,72000
HP ,Notebook 14-DQ1059 ,i5 10th Gen ,,, 8GB RAM , 256GB SSD ,,14, HD ,79000
HP ,Laptop 15-dy2045nr, i5 11th Gen ,,, 8GB RAM , 256GB SSD ,,15.6, HD,88000
HP ,Notebook 14-CE3056TX ,i5 10th Gen ,, NVIDIA MX130 , 4GB RAM ,, 1TB HDD ,14, FHD,89000
