brandname,model,cpucore,clock,gpu,ram,ssd,hdd,display,displayquality,price
Lenovo, ThinkPad X1 Carbon, 10th gen i5-10210U,,, 8GB, 256GB SSD,," 14""",,172800
Lenovo, ThinkPad X1 Carbon, 10th/i7-10710U,,, 16GB, 1TB SSD,," 14"" ",FHD,262800
Lenovo, ThinkPad X1 Extreme ,i7 8th Gen 8850H,, GTX 1050Ti 4GB, 16GB Ram, 512GB SSD,," 15.6""",FULL HD,240800
Lenovo, ThinkPad X395 , AMD Ryzen 7 Pro 3700U,, Vega 10 Graphics, 16GB, 512GB NVMe SSD,,"13.3"" IPS  Touch",FHD,148800
Lenovo, Yoga 920, 8th Gen i7 8550U,, , 16GB RAM, 1TB SSD,, 13.3 4KTouch 360 Flip,,178800
Lenovo, Yoga 920 ,8th Gen i7 8550U,, , 8GB Memory, 256GB SSD,," 13.3"" 360 Flip Touch",FULL HD,128800
Lenovo, Yoga Duet 7i 2-in-1 ,Core i7-10510U,, , 8GB RAM, 512GB SSD,," 13.0""  2K (2160 x 1350) 450 nits IPS Touchscreen",,154800
Apple,Macbook Pro 13 2020 , 10th-gen i5, 2.0GHz, , 16GB RAM, 512 GB SSD,,13-inch Retina,,262800
Apple,Macbook pro 13 Apple M1 Chip , 8-Core CPU ,, 8-Core GPU,, 256GB,,,,194800
Apple,Macbook Pro 13 Inch ,i5 quad-core 8th-gen, 1.4GHz,, 8GB RAM, 256GB SSD,, 13-inch Retina display,,199800
Apple,Macbook Pro 2020 , i5 8t Gen,1.4GHz ,, 8GB Ram, 512 GB SSD,, 13-inch Retina display,,228800
Microsoft, Surface Book 2 2-IN-1, 8th gen i7-8650U,, GTX 1050 2GB,8GB, 256GB SSD,," 13.5"" (3000×2000) TOUCHSCREEN",,258800
Microsoft, Surface Pro 6 ,8th gen i5,,, 8GB RAM, 256GB SSD,, 12.3  Touch,QHD,168800
Microsoft, Surface Pro 6 ,8th gen i7,,, 16GB RAM, 512GB SSD,, 12.3  Touch,QHD,248800
Microsoft, Surface Pro 7 ,10 gen i5-1035G4,,, 8GB, 128GB SSD,," 12.3"" (2736×1824) TOUCHSCREEN",,154800
Microsoft, Surface Pro 7 ,10 gen i5-1035G4,,, 8GB, 256GB SSD,," 12.3"" (2736×1824) TOUCHSCREEN",,178800
Microsoft, Surface Pro 7 ,10 gen i7-1065G7,,, 16GB, 256GB SSD,," 12.3"" (2736×1824) TOUCHSCREEN",,262800
Microsoft, Surface Pro ,i5 7th Gen,,, 8GB RAM, 256GB SSD,, 12.3  Touch,QHD,152800
MSI, Alpha 15, Ryzen 7-3750H,, Radeon RX5500 4GB, 16GB, 512GB NVME,," 15.6"" 144Hz 100% sRGB",,140800
MSI, GE63 Raider ,8th gen i7 8750H ,, RTX 2070 8GB ,16GB RAM, 512GB SSD,1TB HDD," 15.6"" 144Hz",,205800
MSI, GE63 Raider ,8th gen i7 8750H,, GTX 1060 6GB, 16GB RAM, 256GB SSD,1TB HDD ,"15.6"" 120Hz",FULL HD,154800
MSI, GE63 Raider ,9th Gen i7 9750H,, RTX 2060 6GB, 16GB RAM, 1TB SSD,," 15.6"" 144hz",FULL HD,196800
MSI, GF63 Thin, i5 9th gen 9300H,, GTX 1650 4GB, 8GB RAM, 512GB SSD,," 15.6"" 60hz",FULL HD,102800
MSI, GF63 Thin, i7 10th gen 10750H,, GTX 1660Ti 6GB, 8GB RAM, 512GB SSD,," 15.6"" 120Hz",FULL HD,158800
MSI, GL63 ,9th gen i7 9750H,, GTX 1660Ti 6GB, 16GB RAM, 512 GB NVME,," 15.6""",FULL HD,154800
MSI, GL63 ,9th gen i7 9750H,, RTX 2060 6GB, 16GB RAM, 512GB SSD ,,"15.6"" 144Hz",FULL HD,184800
MSI, GL63 ,i5 8th gen 8300H,, GTX 1050 2GB, 8GB RAM, 128GB SSD,1TB HDD," 15.6"" 60Hz",FULL HD,84800
MSI, P65 Creator, 8th gen i7 8750H ,, GTX 1050TI 4GB,16GB RAM, 256GB SSD,," 15.6"" 100% sRGB Display",FULL HD,148800
MSI, P65 Creator ,8th gen i7 8750H,,GTX 1060 6GB, 16GB RAM, 512GB SSD,," 15.6"" FULL 144Hz. ",,154800
MSI, PS42 Modern, 8th gen i7 8550U,, GTX 1050 2GB, 16GB RAM, 256GB SSD,," 14""",FULL HD,148800
MSI, GS65-Stealth ,9th gen i7 9750H,, GTX 1660Ti 6GB, 16GB RAM, 512GB SSD,," 15.6"" 144Hz",FULL HD,165800
MSI, GS65-Stealth, 9th gen i7 9750H,, RTX 2060 6GB, 32GB RAM, 512GB SSD,," 15.6"" 240Hz",FULL HD,205800
Razer, Blade 15 ,9th Gen i7-9750H,, GTX 1660 Ti 6GB, 16GB RAM, 256GB SSD,," 15.6""  144Hz",FHD,192800
Razer, Blade 15 GAMING ,10 gen i7-10750H,, RTX 2060 6GB, 16 GB, 512GB SSD,," 15.6"" 144Hz",,248800
Samsung, Odyssey ,i7 ,, GTX 1060 6GB,16GB RAM, 128GB SSD,1TB HDD," 15.6""",FULL HD,120800
